20160701 000000;19.194000;19.195000;19.182000;19.182000;0
20160701 000100;19.180000;19.181000;19.173000;19.179000;0
20160701 000200;19.178000;19.178000;19.169000;19.169000;0
20160701 000300;19.168000;19.171000;19.162000;19.171000;0
20160701 000400;19.171000;19.177000;19.163000;19.166000;0
20160701 000500;19.167000;19.172000;19.162000;19.165000;0
20160701 000600;19.165000;19.177000;19.164000;19.170000;0
20160701 000700;19.170000;19.172000;19.169000;19.169000;0
20160701 000800;19.169000;19.169000;19.163000;19.166000;0
20160701 000900;19.167000;19.167000;19.166000;19.166000;0
20160701 001000;19.167000;19.169000;19.167000;19.168000;0
20160701 001100;19.167000;19.171000;19.167000;19.168000;0
20160701 001200;19.166000;19.191000;19.166000;19.191000;0
20160701 001300;19.190000;19.190000;19.185000;19.187000;0
20160701 001400;19.185000;19.185000;19.184000;19.185000;0
20160701 001500;19.186000;19.187000;19.184000;19.186000;0
20160701 001600;19.184000;19.185000;19.184000;19.184000;0
20160701 001700;19.185000;19.185000;19.184000;19.184000;0
20160701 001800;19.185000;19.185000;19.173000;19.178000;0
20160701 001900;19.178000;19.178000;19.173000;19.173000;0
20160701 002000;19.173000;19.173000;19.170000;19.172000;0
20160701 002100;19.173000;19.173000;19.172000;19.172000;0
20160701 002200;19.173000;19.175000;19.168000;19.168000;0
20160701 002300;19.166000;19.166000;19.161000;19.161000;0
20160701 002400;19.160000;19.160000;19.148000;19.151000;0
20160701 002500;19.152000;19.156000;19.147000;19.149000;0
20160701 002600;19.147000;19.147000;19.133000;19.137000;0
20160701 002700;19.138000;19.143000;19.133000;19.133000;0
20160701 002800;19.134000;19.134000;19.118000;19.118000;0
20160701 002900;19.118000;19.123000;19.113000;19.113000;0
20160701 003000;19.114000;19.123000;19.114000;19.120000;0
20160701 003100;19.121000;19.128000;19.119000;19.125000;0
20160701 003200;19.125000;19.126000;19.113000;19.115000;0
20160701 003300;19.116000;19.122000;19.116000;19.122000;0
20160701 003400;19.123000;19.124000;19.123000;19.123000;0
20160701 003500;19.122000;19.123000;19.117000;19.120000;0
20160701 003600;19.119000;19.122000;19.119000;19.120000;0
20160701 003700;19.119000;19.125000;19.119000;19.123000;0
20160701 003800;19.122000;19.130000;19.121000;19.128000;0
20160701 003900;19.130000;19.138000;19.130000;19.138000;0
20160701 004000;19.137000;19.138000;19.135000;19.138000;0
20160701 004100;19.137000;19.141000;19.136000;19.141000;0
20160701 004200;19.142000;19.146000;19.140000;19.141000;0
20160701 004300;19.140000;19.140000;19.135000;19.139000;0
20160701 004400;19.140000;19.147000;19.140000;19.147000;0
20160701 004500;19.146000;19.147000;19.145000;19.145000;0
20160701 004600;19.146000;19.146000;19.141000;19.146000;0
20160701 004700;19.145000;19.146000;19.142000;19.143000;0
20160701 004800;19.144000;19.144000;19.139000;19.141000;0
20160701 004900;19.140000;19.140000;19.135000;19.135000;0
20160701 005000;19.136000;19.139000;19.135000;19.138000;0
20160701 005100;19.136000;19.138000;19.136000;19.137000;0
20160701 005200;19.136000;19.138000;19.135000;19.138000;0
20160701 005300;19.136000;19.141000;19.135000;19.139000;0
20160701 005400;19.140000;19.141000;19.139000;19.140000;0
20160701 005500;19.141000;19.142000;19.140000;19.142000;0
20160701 005600;19.143000;19.147000;19.141000;19.146000;0
20160701 005700;19.147000;19.149000;19.146000;19.147000;0
20160701 005800;19.146000;19.150000;19.146000;19.150000;0
20160701 005900;19.150000;19.152000;19.150000;19.152000;0
20160701 010000;19.153000;19.162000;19.153000;19.156000;0
20160701 010100;19.157000;19.160000;19.151000;19.159000;0
20160701 010200;19.158000;19.163000;19.155000;19.163000;0
20160701 010300;19.164000;19.178000;19.163000;19.178000;0
20160701 010400;19.179000;19.179000;19.174000;19.175000;0
20160701 010500;19.176000;19.182000;19.175000;19.182000;0
20160701 010600;19.182000;19.182000;19.171000;19.175000;0
20160701 010700;19.172000;19.179000;19.172000;19.178000;0
20160701 010800;19.176000;19.178000;19.176000;19.178000;0
20160701 010900;19.176000;19.186000;19.176000;19.185000;0
20160701 011000;19.186000;19.189000;19.184000;19.184000;0
20160701 011100;19.186000;19.188000;19.184000;19.185000;0
20160701 011200;19.184000;19.184000;19.164000;19.166000;0
20160701 011300;19.161000;19.163000;19.149000;19.153000;0
20160701 011400;19.150000;19.155000;19.146000;19.155000;0
20160701 011500;19.155000;19.159000;19.155000;19.159000;0
20160701 011600;19.161000;19.170000;19.160000;19.170000;0
20160701 011700;19.170000;19.171000;19.170000;19.170000;0
20160701 011800;19.171000;19.171000;19.165000;19.168000;0
20160701 011900;19.167000;19.167000;19.165000;19.165000;0
20160701 012000;19.166000;19.167000;19.163000;19.163000;0
20160701 012100;19.162000;19.166000;19.162000;19.166000;0
20160701 012200;19.165000;19.172000;19.165000;19.171000;0
20160701 012300;19.170000;19.170000;19.170000;19.170000;0
20160701 012400;19.167000;19.168000;19.162000;19.165000;0
20160701 012500;19.162000;19.163000;19.161000;19.161000;0
