2016-05-07 21:29:16,105 - INFO - Initializing main daemon.
2016-05-07 21:29:19,582 - ERROR - Unknown error occurred.
2016-05-07 21:29:21,914 - ERROR - Unknown error occurred.
2016-05-07 21:29:24,252 - ERROR - Unknown error occurred.
2016-05-07 21:29:26,569 - ERROR - Unknown error occurred.
2016-05-07 21:29:28,852 - ERROR - Unknown error occurred.
2016-05-07 21:29:31,154 - ERROR - Unknown error occurred.
2016-05-07 21:30:33,046 - INFO - Initializing main daemon.
2016-05-07 21:47:12,196 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:47:13,394 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:47:45,882 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:47:47,104 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:48:19,378 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:48:20,618 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:48:54,259 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:48:55,490 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:49:27,713 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:49:28,969 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:50:01,312 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:50:02,517 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:50:37,987 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:50:39,200 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:51:13,214 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:51:14,467 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:51:48,111 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:51:49,306 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:52:22,878 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:52:24,158 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:52:59,826 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:53:01,039 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:53:35,072 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:53:36,301 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:54:08,470 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:54:09,690 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:54:42,338 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:54:43,585 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:55:15,845 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:55:17,154 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:55:49,348 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:55:50,549 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:56:22,815 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:56:24,028 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:57:00,815 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:57:02,039 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:57:34,335 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:57:35,559 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:58:09,433 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:58:10,750 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:58:43,076 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:58:44,361 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:59:16,519 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:59:17,743 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 21:59:50,459 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 21:59:51,653 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:00:25,190 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:00:26,411 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:00:58,709 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:00:59,959 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:01:32,220 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:01:33,542 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:02:07,776 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:02:09,073 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:02:41,252 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:02:42,483 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:03:16,085 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:03:17,289 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:03:49,492 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:03:50,746 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:04:23,114 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:04:24,326 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:04:56,641 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:04:57,908 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:05:30,339 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:05:31,562 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:06:03,798 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:06:05,072 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:06:38,657 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:06:39,901 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:07:12,167 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:07:13,424 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:07:46,878 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:07:48,217 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:08:20,628 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:08:21,888 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:08:55,994 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:08:57,224 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:09:29,395 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:09:30,661 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:10:03,042 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:10:04,322 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:10:38,063 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:10:39,296 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:11:11,818 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:11:13,121 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:11:45,430 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:11:46,647 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:12:18,816 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:12:20,046 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:12:52,358 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:12:53,578 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:13:25,895 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:13:27,084 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
2016-05-07 22:14:03,094 - INFO - EURGBP: Opened short position, SL: 0.793278045, TP: 0.7843479375
2016-05-07 22:14:04,299 - INFO - EURJPY: Opened long position, SL: 121.680849, TP: 123.0610875
