2016-03-30 02:00:00,39.82,38.05,38.66,38.01
2016-03-31 02:00:00,39.03,38.2,38.05,37.59
2016-04-01 02:00:00,38.38,36.67,38.21,36.63
2016-04-03 02:00:00,36.7,36.38,36.57,36.23
2016-04-04 02:00:00,37.21,35.4,36.37,35.39
2016-04-05 02:00:00,36.76,36.69,35.43,35.24
2016-04-06 02:00:00,38,37.95,36.7,36.56
2016-04-07 02:00:00,38.29,37.53,37.95,36.69
2016-04-08 02:00:00,39.83,39.68,37.54,37.54
2016-04-10 02:00:00,40.32,40.19,39.67,39.67
2016-04-11 02:00:00,40.73,40.2,40.19,39.25
2016-04-12 02:00:00,42.24,41.71,40.21,40.09
2016-04-13 02:00:00,42.37,41.71,41.73,41.25
2016-04-14 02:00:00,42.16,41.42,41.71,40.84
2016-04-15 02:00:00,41.73,40.45,41.4,39.99
2016-04-17 02:00:00,38.59,38.17,38.55,37.63
2016-04-18 02:00:00,40.24,40.07,38.15,38.03
2016-04-19 02:00:00,42.42,41.82,40.07,39.58
2016-04-20 02:00:00,44.25,43.91,41.82,41.3
2016-04-21 02:00:00,44.49,43.45,43.92,43.06
2016-04-22 02:00:00,44.45,43.75,43.46,43.11
2016-04-24 02:00:00,43.74,43.4,43.74,43.38
2016-04-25 02:00:00,44.03,42.91,43.4,42.58
2016-04-26 02:00:00,44.82,44.52,42.9,42.5
2016-04-27 02:00:00,45.57,45.24,44.53,43.77
2016-04-28 02:00:00,46.13,45.82,45.23,44.95
2016-04-29 02:00:00,46.77,46,45.82,45.25
2016-05-01 02:00:00,45.96,45.66,45.92,45.56
2016-05-02 02:00:00,46.14,44.72,45.65,44.54
2016-05-03 02:00:00,45.35,43.84,44.73,43.32
2016-05-04 02:00:00,44.87,44.41,43.84,43.23
2016-05-05 02:00:00,46.06,44.38,44.4,43.96
2016-05-06 02:00:00,45.34,44.59,44.39,43.55
